rating,tSQD,Wallet,reward
50,803.684063,0x802402De044cF54FA2Aca8f7cCcBD7353D153234,33250
51,803.6528812,0xA7944E82f6aDEAB9abf846E049Ee2602fd61a6c5,26600
52,803.4645331,0x7b00AF597b7d69F1003F87CBB646c5Cc1F7FccD5,26600
53,803.420576,0x1862F27Cb5979ee150B9370A502F30E017eE0877,26600
54,803.3714243,0x81a3670333eB13864e99E1f21D1Ffeb36748E6Ee,26600
55,803.3209552,0x2E580e07c87145D11343Df65bB3b5D17fC6BA918,26600
56,803.1847406,0x7956a29212D2EcF985b77D2FcC496e3Bb27A8C30,26600
57,803.010501,0xCE3fDDA8Fa13a11fAD310dD897557D74F3A7ac93,26600
58,802.8473363,0x24bD5D54Ea243A4ccaB948Ab1A9B0cF43e47405b,26600
59,802.8205984,0x5C70ECed1e37DfBE493F97237e3481b804795647,26600
60,802.2691416,0x475b647d0c7824732dBac6B96bC1B165B85e8524,26600
61,802.2075071,0xf96422C5f87718075F42f878DCC631eea2E79eb0,26600
62,801.7720674,0x340178eFc1559fF324c6F3588d651dC65f34fa44,26600
63,801.6461912,0x54ec469Af2Dc4c6Cdea8197dE93dAB107d73fa84,26600
64,801.6440547,0x4a27BfD91B30EfAf08706d2105e5D8A1ad09fF0C,26600
65,800.811654,0x44396A7c00108A97e28fF0DD9D4CA8392d14C495,26600
66,798.3178378,0x9b5a493A922FBDfeBef5Ea026279d6c1C24f29E2,26600
67,798.0322955,0x45e622B764D8bb1E16630a30939F4864e002b0D3,26600
68,798.0002724,0x19b587b8e0E8fc0DE1253fdadD28c701eB691C23,26600
69,798.0000086,0x25539D58ef2b3b9BB45B4f2e6ec83CB479c72E6C,26600
70,797.801075,0x5d73Eb2c60356d0960A939d51D158154e192CF88,26600
71,793.0083277,0x9dFaD69890E5BE09e4ED7837b81D21193a12CcBA,26600
72,792.32849,0x7a9449C965362591beC135C66EfCd6971cde7a30,26600
73,789.3429185,0x9B759EEe4925dc6c5bB68Af716fa519BC77d5420,26600
74,789.3407515,0x6b6310a45B119E3f67BC428CcDD55349D1FE1CB5,26600
75,789.001763,0x822830Ad848b588F6eA32a812A78c47eB53e6290,26600
76,788.9906613,0xFb6baAf5E159a96Df99F29282301973879E0144A,26600
77,788.8346642,0x9CEbefdCEFdac9ea8F3D69d828Fc2f16798aa401,26600
78,788.5771256,0xb6E2af2a51651b5c36C76b6DAEf6203Dcc1108Ad,26600
79,788.5353034,0xd400Af972b07e8283EDC2ebbcbfA3Fc6EAb2e770,26600
80,788.4307069,0x86b8C451ecb081Ad1cB519266BeC70386483a39e,26600
81,788.4219426,0xD7F6b1c705F516ADaEb7915b1B558Ac15f5fF6c0,26600
82,788.3947463,0x3AE8198f48272552581bC49B4983F4c1c2dC1efe,26600
83,788.3889383,0x58533a8792aa1c96DA208C59153B24D3887AbFa7,26600
84,788.2974831,0xF0b6F4554f25717f93D849e4351A18F79Ce45CA2,26600
85,788.2938238,0xeA752ba41207866E947BC1634252307D868EcA96,26600
86,788.2925543,0x5BBa41b073bd10F44aE2365d7CdE024E2c3cc063,26600
87,787.8695764,0x81B3baD5DCA8f8Bf1867b819149aef75067bF6a6,26600
88,787.6721367,0x5D9ae998E4FE9068593E72f774317f14ba606871,26600
89,786.3823763,0x2e3356D6B5037557650002a15DA47Ca756B00380,26600
90,785.9743133,0xf094C2406f91E946d8C4757A2F8c00D9Ec4D703E,26600
91,785.4415956,0xC3bF45C0138f25374c7800a932de3446CcC74e4c,26600
92,785.075045,0xC052eCD434bb42E4E8aa1F6Ff9282E626Ab1301F,26600
93,784,0x56Cb6BB8DEe286E0A2c9EdAB3aE75A16717b90D7,26600
94,783.0805388,0xf9a46e5Fb00509B1bF3fCC8A164dF697b89F7738,26600
95,783.0246799,0xeA102f931F5EaA67d8144F40A536c35d97DF6EC0,26600
96,783.0179122,0xC6Ff00cC9b0FDcF926051c4c5B184667d4e54d4A,26600
97,783.0049861,0x47734105EBE1FccbA40de0Ac03202802Bc97952E,26600
98,779.5670032,0x26A51BA7cCb38f2CD700fcFCCe3779AdfF74dDD1,26600
99,779.5608871,0x1Cb4A697Aab5103287f24A045FCd274B38bb54F6,26600
100,779.5206109,0x5C1db96c7853bb90c84b917481e78d1004C19D97,26600
101,779.3807837,0xaFa62086970a965633be7EEE5E51c45BB962e728,13300
102,779.3748237,0x83bac7E3A7D6b3B1F549F8b28cee864723808893,13300
103,779.3714735,0x01E4e144983af1dEaEBd5FcAcB25a9D8642d6aE2,13300
104,779.2680586,0x3B12cD674c66870F82CA6D91f7E5F65496DBe468,13300
105,779.2267623,0xe3cFc588712fe07B164f160F17820545a217969f,13300
106,779.2174397,0xAaC4599053F5AEc1a574892D8d3e66A73290A880,13300
107,779.2013133,0xdd75e8e4BF6Ac7d380E7Ddaf53c83227A323d03f,13300
108,779.0494936,0x28356bE63dc7497BA3f02a4839AB5d09eea8A12D,13300
109,778.9312964,0x016173d21EFB6BA93E96186140d8e0Cb8844084b,13300
110,778.9205933,0x09c827F74849DbBc9D5325BA858E14Ad0aFFe224,13300
111,778.9109378,0xAC4E8F5aA0496ccbaF8CFFE87715087413a0884F,13300
